|57||58|551|
|58||56|543|
|28||26|77|
|28||27|75|
|55||67|74|
|21||27|304|
|21||28|300|
|22||27|299|
|22||28|295|
|23||28|290|
|62||60|275|
|27||30|353|
|27||31|348|
|27||32|343|
|27||33|338|
|28||33|332|
|29||33|326|
|62||56|126|
|14||20|497|
|14||26|453|
|15||27|439|
|16||27|431|
|56||63|806|
|28||26|396|
|28||36|333|
|29||36|327|
|30||36|321|
|47||61|158|
|48||58|152|
|27||30|313|
|27||31|308|
|27||32|303|
|27||33|298|
|27||34|293|
|27||36|283|
|27||37|278|
|28||38|268|
|28||39|263|
|28||40|258|
|31||40|241|
|52||55|227|
|57||56|205|
|26||19|254|
|26||28|216|
|27||31|200|
|28||32|192|
|29||33|184|
|53||61|488|
|54||58|464|
|29||18|58|
|29||23|54|
|29||26|49|
|30||29|45|
|31||33|40|
|32||33|39|
|54||54|75|
|28||25|229|
|28||35|186|
|29||38|170|
|30||42|150|
|31||43|142|
|47||57|65|
|24||20|220|
|24||25|201|
|24||26|198|
|24||28|187|
|25||31|171|
|26||32|165|
|26||33|162|
|26||35|153|
|26||36|150|
|26||37|143|
|27||39|131|
|28||38|130|
|28||39|126|
|29||39|121|
|55||54|28|
|20||18|214|
|20||23|195|
|20||24|192|
|20||26|181|
|21||29|165|
|22||30|159|
|22||31|156|
|22||33|147|
|22||34|144|
|22||35|137|
|23||38|121|
|24||38|116|
|25||38|113|
|26||38|108|
|50||52|146|
|27||30|50|
|27||31|49|
|27||32|48|
|27||33|47|
|27||34|46|
|27||36|44|
|27||37|43|
|28||38|41|
|28||39|40|
|28||40|39|
|29||41|37|
|29||43|35|
|29||44|34|
|29||46|32|
|30||47|30|
|30||48|29|
|30||49|28|
|31||49|0|
|49||55|151|
|22||27|469|
|22||28|459|
|22||29|449|
|22||30|439|
|22||31|429|
|22||33|409|
|22||34|399|
|23||37|359|
|24||39|328|
|24||40|319|
|24||41|309|
|24||43|289|
|25||46|249|
|26||48|216|
|27||49|196|
|28||49|186|
|29||49|176|
|46||52|73|
|47||50|68|
|17||30|184|
|17||31|180|
|17||32|176|
|17||33|172|
|17||34|168|
|17||36|160|
|17||37|156|
|18||38|148|
|18||39|144|
|18||40|140|
|19||41|132|
|19||43|124|
|19||44|120|
|19||46|112|
|20||47|104|
|20||48|100|
|20||49|96|
|21||50|88|
|21||52|80|
|22||53|72|
|22||54|68|
|23||55|60|
|24||55|53|
|25||55|46|
|36||51|46|
|19||22|260|
|19||27|235|
|19||28|230|
|19||30|215|
|20||33|191|
|21||35|176|
|21||37|163|
|21||38|158|
|21||39|149|
|22||42|125|
|23||44|110|
|23||45|101|
|24||47|83|
|25||49|65|
|26||50|57|
|27||50|51|
|29||47|46|
|29||48|39|
|30||48|26|
|24||19|238|
|24||28|194|
|25||31|170|
|26||36|137|
|26||37|128|
|27||40|104|
|28||42|89|
|28||43|80|
|29||45|62|
|30||47|46|
|31||48|38|
|32||48|32|
|33||48|26|
|34||48|20|
|35||48|14|
|39||15|28|
|19||29|36|
|20||29|32|
|20||31|30|
|21||33|27|
|22||34|25|
|22||35|24|
|22||36|23|
|22||37|22|
|22||38|21|
